Voronoi subdivision ImageDEV
   Nombre des Vertexes 459
   VORONOI COORDS :
     vertex 1800.000000 0.000000 
     vertex 0.000000 1800.000000 
     vertex -1800.000000 -1800.000000 
     vertex 97.000000 130.000000 
     vertex 298.000000 331.000000 
     vertex 91.000000 122.000000 
     vertex 135.000000 408.000000 
     vertex 57.000000 139.000000 
     vertex 174.000000 385.000000 
     vertex 135.000000 174.000000 
     vertex 123.000000 172.000000 
     vertex 191.000000 288.000000 
     vertex 60.000000 178.000000 
     vertex 205.000000 292.000000 
     vertex 68.000000 154.000000 
     vertex 268.000000 279.000000 
     vertex 172.000000 375.000000 
     vertex 249.000000 264.000000 
     vertex 143.000000 172.000000 
     vertex 98.000000 122.000000 
     vertex 79.000000 220.000000 
     vertex 89.000000 129.000000 
     vertex 86.000000 121.000000 
     vertex 265.000000 277.000000 
     vertex 140.000000 193.000000 
     vertex 169.000000 45.000000 
     vertex 134.000000 186.000000 
     vertex 306.000000 470.000000 
     vertex 126.000000 200.000000 
     vertex 128.000000 184.000000 
     vertex 150.000000 78.000000 
     vertex 121.000000 193.000000 
     vertex 358.000000 375.000000 
     vertex 110.000000 239.000000 
     vertex 306.000000 335.000000 
     vertex 182.000000 38.000000 
     vertex 131.000000 168.000000 
     vertex 82.000000 135.000000 
     vertex 152.000000 59.000000 
     vertex 323.000000 313.000000 
     vertex 86.000000 229.000000 
     vertex 99.000000 125.000000 
     vertex 170.000000 52.000000 
     vertex 342.000000 358.000000 
     vertex 171.000000 393.000000 
     vertex 185.000000 82.000000 
     vertex 127.000000 178.000000 
     vertex 324.000000 321.000000 
     vertex 303.000000 368.000000 
     vertex 253.000000 77.000000 
     vertex 337.000000 304.000000 
     vertex 181.000000 82.000000 
     vertex 164.000000 80.000000 
     vertex 236.000000 108.000000 
     vertex 259.000000 235.000000 
     vertex 67.000000 224.000000 
     vertex 140.000000 175.000000 
     vertex 185.000000 363.000000 
     vertex 117.000000 195.000000 
     vertex 138.000000 188.000000 
     vertex 59.000000 183.000000 
     vertex 303.000000 323.000000 
     vertex 112.000000 242.000000 
     vertex 74.000000 138.000000 
     vertex 297.000000 371.000000 
     vertex 52.000000 178.000000 
     vertex 244.000000 270.000000 
     vertex 194.000000 452.000000 
     vertex 258.000000 249.000000 
     vertex 92.000000 226.000000 
     vertex 232.000000 424.000000 
     vertex 217.000000 32.000000 
     vertex 121.000000 187.000000 
     vertex 76.000000 132.000000 
     vertex 163.000000 77.000000 
     vertex 237.000000 199.000000 
     vertex 259.000000 410.000000 
     vertex 281.000000 392.000000 
     vertex 139.000000 197.000000 
     vertex 184.000000 460.000000 
     vertex 297.000000 486.000000 
     vertex 124.000000 99.000000 
     vertex 287.000000 479.000000 
     vertex 308.000000 302.000000 
     vertex 233.000000 132.000000 
     vertex 325.000000 118.000000 
     vertex 254.000000 250.000000 
     vertex 257.000000 182.000000 
     vertex 282.000000 452.000000 
     vertex 136.000000 166.000000 
     vertex 217.000000 246.000000 
     vertex 225.000000 144.000000 
     vertex 99.000000 71.000000 
     vertex 169.000000 11.000000 
     vertex 131.000000 204.000000 
     vertex 264.000000 467.000000 
     vertex 293.000000 374.000000 
     vertex 300.000000 398.000000 
     vertex 170.000000 478.000000 
     vertex 295.000000 486.000000 
     vertex 149.000000 166.000000 
     vertex 159.000000 56.000000 
     vertex 144.000000 499.000000 
     vertex 113.000000 89.000000 
     vertex 165.000000 39.000000 
     vertex 112.000000 191.000000 
     vertex 225.000000 103.000000 
     vertex 180.000000 91.000000 
     vertex 362.000000 439.000000 
     vertex 198.000000 430.000000 
     vertex 296.000000 377.000000 
     vertex 157.000000 53.000000 
     vertex 308.000000 371.000000 
     vertex 71.000000 130.000000 
     vertex 123.000000 206.000000 
     vertex 114.000000 196.000000 
     vertex 310.000000 333.000000 
     vertex 263.000000 251.000000 
     vertex 268.000000 355.000000 
     vertex 76.000000 88.000000 
     vertex 175.000000 140.000000 
     vertex 104.000000 68.000000 
     vertex 299.000000 336.000000 
     vertex 148.000000 189.000000 
     vertex 255.000000 253.000000 
     vertex 230.000000 513.000000 
     vertex 318.000000 344.000000 
     vertex 337.000000 128.000000 
     vertex 89.000000 142.000000 
     vertex 388.000000 392.000000 
     vertex 209.000000 275.000000 
     vertex 178.000000 442.000000 
     vertex 85.000000 212.000000 
     vertex 107.000000 245.000000 
     vertex 263.000000 97.000000 
     vertex 151.000000 445.000000 
     vertex 117.000000 186.000000 
     vertex 326.000000 380.000000 
     vertex 212.000000 273.000000 
     vertex 277.000000 190.000000 
     vertex 353.000000 442.000000 
     vertex 275.000000 164.000000 
     vertex 190.000000 392.000000 
     vertex 92.000000 209.000000 
     vertex 167.000000 402.000000 
     vertex 289.000000 413.000000 
     vertex 263.000000 241.000000 
     vertex 196.000000 455.000000 
     vertex 120.000000 266.000000 
     vertex 226.000000 415.000000 
     vertex 187.000000 114.000000 
     vertex 176.000000 545.000000 
     vertex 209.000000 424.000000 
     vertex 286.000000 68.000000 
     vertex 274.000000 100.000000 
     vertex 125.331459 138.432587 
     vertex 132.377197 132.074234 
     vertex 81.730087 127.163719 
     vertex 81.868423 127.763161 
     vertex 56.000000 163.333328 
     vertex 56.000000 179.800003 
     vertex 303.928558 329.142853 
     vertex 305.388885 328.777771 
     vertex 190.387756 439.979584 
     vertex 184.157898 449.947357 
     vertex 236.804352 235.934784 
     vertex 234.074112 225.510269 
     vertex 128.493286 66.130875 
     vertex 155.846939 69.010201 
     vertex 94.086960 125.934784 
     vertex 93.379311 126.465515 
     vertex 94.181419 100.287613 
     vertex 94.500000 100.500000 
     vertex 97.948982 236.724487 
     vertex 108.642860 242.071426 
     vertex 194.693130 410.854065 
     vertex 185.376312 412.815521 
     vertex -1920.965698 928.910400 
     vertex -421.077667 508.941742 
     vertex 87.824326 124.878380 
     vertex 88.576920 174.192307 
     vertex 91.488503 170.729889 
     vertex -1672.927246 -62.965027 
     vertex -1318.442261 -402.458862 
     vertex 145.523697 382.556885 
     vertex 157.021744 383.195648 
     vertex 115.727272 147.454544 
     vertex 112.851852 149.234573 
     vertex 186.756409 377.628204 
     vertex 186.214279 377.357147 
     vertex 136.368851 180.155731 
     vertex 132.934784 179.869568 
     vertex 134.657898 169.894730 
     vertex 129.625000 173.250000 
     vertex 243.000000 317.000000 
     vertex 242.409088 314.136353 
     vertex 95.055557 169.055557 
     vertex 128.375000 172.750000 
     vertex 95.756096 168.609756 
     vertex 141.621490 321.789734 
     vertex 187.860336 325.488831 
     vertex 143.628784 182.212128 
     vertex 142.958328 188.916672 
     vertex 278.586212 337.482758 
     vertex 288.054932 352.931702 
     vertex 47.380951 157.587296 
     vertex 75.617645 229.852936 
     vertex 67.333336 205.000000 
     vertex -2703.019775 901.509827 
     vertex -2143.717773 919.440613 
     vertex 200.307083 281.925201 
     vertex 229.765762 290.334747 
     vertex 218.662796 286.244171 
     vertex 262.200012 317.000000 
     vertex 92.250000 135.500000 
     vertex 65.827065 144.060150 
     vertex 273.795990 310.309998 
     vertex 326.772186 241.053299 
     vertex 333.651428 232.972931 
     vertex 266.090363 132.131393 
     vertex 250.631577 152.421051 
     vertex 137.481873 324.563690 
     vertex 106.838493 339.182556 
     vertex 232.712769 255.510635 
     vertex 235.157990 251.163574 
     vertex 202.659134 96.958801 
     vertex 201.460678 97.033707 
     vertex 174.204224 227.542252 
     vertex 167.708954 237.881668 
     vertex 138.329269 170.353653 
     vertex 138.346161 170.346161 
     vertex 94.500000 124.833336 
     vertex 154.317200 111.220428 
     vertex 152.841034 108.112717 
     vertex 183.000000 64.250000 
     vertex 175.469070 67.011337 
     vertex 86.445656 182.717392 
     vertex 100.610291 198.455887 
     vertex 132.928574 228.714279 
     vertex 126.785713 204.142853 
     vertex 61.726131 282.640717 
     vertex 88.500000 135.500000 
     vertex 92.603226 100.983871 
     vertex 72.264709 134.088242 
     vertex 76.820000 122.699997 
     vertex 127.582191 70.321915 
     vertex 130.648682 80.636459 
     vertex 241.785721 311.642853 
     vertex 254.456528 273.630432 
     vertex 262.166656 264.141022 
     vertex 276.472961 263.040527 
